,0
89b723c805e76f7e429bc3c6bcea1e66,28.0
e45ed54d5a793ddbff388a5980f17e64,27.0
07fde19d32a80d761701f6fbfcaa5cea,27.0
812c0e7468965291f48f5f56f267344e,27.0
fb7e6e79e8f0b9fccbf8a79573b82c59,27.0
9bf1c8d5f6aa0c311e0e11b1e2e0a82a,27.0
33a0cd4b3dc18737a4d2334e0151e053,26.0
f216d93a43e54c17946b59a3a657ad25,26.0
380e4850f167aa923b1015dd215640c8,26.0
834d6638db04176fc59c19c78dc4748c,26.0
348bc96f189ae7d1977d2c2aa4f52ced,25.0
2837436128fed8b81675e0c41e2b15ce,25.0
3e6d3bfa1c05fe2c4d0aa54623f07898,25.0
d5a9a756403b7c647876f5a85307c86d,25.0
7fc6ed467a0663f0512cfa3220c40e9b,25.0
59d9c8d59f06b90b913c01576d14219a,25.0
95bd343b1fa5d7cfdd4708591fb874bb,25.0
d94dd89d8bc9a14211f1604b6765d35e,25.0
be6cfbd5b5e7f60a8e4691d1649a0b20,25.0
521a76c40d347faec94dcde73450b55e,24.0
64c5fa0124f027e1df6664ed004176aa,24.0
de7c48ca0af6019743bf55e9acb2e685,24.0
2113509773454a928ed3559a65dcf501,24.0
1843225fc8a4c2184e88241aa6672763,24.0
fe8a2cfdcd1246ca8b9925e9c52d5b1c,24.0
b1aee69bdfd9e3c2f6bdda2e6a4cd7f1,24.0
a45226d4c6dbb1ad2128d17ca895c3f4,23.0
4019c7647ba4b790fc8658b9c2ffd530,23.0
d4ae1facf3fe0124bf28721181a3a912,23.0
1c498ea7849e9ee8636874b05d207e4a,23.0
8ebaf2891035f75d110e07ae199df454,23.0
375dc22089edb8f7bf05dabcc6cbd962,22.0
ad727fb96cb4b0719797ca886b70a2df,22.0
0fdc917a9880c8da2eda02dfa0a3d0b7,22.0
2824dafc9235871326e5ea243716fe4d,22.0
e0a444d3d6f48ba1b57feda106eba232,22.0
9a39c012ea3044b8c9169b79a935ae33,22.0
3ce6ab848df0875ac4155ee3bf172db2,22.0
0aa391d8a150bd255432725471cdb29e,22.0
f033a859e9849984c83512678f18d003,22.0
78bb9356be0c3d0c781529ee0cb76b2e,22.0
de11f8bac32c21672e0c069d9455fd00,21.0
63f48ec591d287cd249c33bf9dbec3f1,21.0
acd5ac0679f6cc772e0d6523a96b41c2,21.0
0f1f03fa712c612f96df1b52f57e89a0,21.0
2a7743e2f0bfbd077f613266fa80bd13,21.0
fcdab8e4e13c7758bec00f1c59e4a7e8,21.0
f790f587e62610430aa9ce12e96ce976,21.0
10d5c0e0b1d40238674be5c8b0336ed5,21.0
3d73d32242f901d44c1a9c3c3c13784b,21.0
fc722e9048b164fb02fc32632b55cf2d,20.0
a9b26208e6cc32703b51fb8f2a79fd02,20.0
ad2429e66dc8e1b6d3bd5aebda6b74c6,20.0
1b116db80d5a85e33b5613d45db6f0d8,20.0
f45d97cc83f7f3f99b8268368f951fc9,20.0
6893712b7dbdf3ca005808f387a68d74,20.0
bd0f32c73d23cf112df3782c1a2af7a2,20.0
2bd6011d8e40363dbbc40fe0a2399558,20.0
c2956269be6bef44dc269b401ac50ac9,19.0
97a175aa2fa6c29a017a61956f920e31,19.0
0bf43d12c3d0303eaa0d58af8a3ffbf9,19.0
d1e52a6df46e8471b2b6e8cbc170eea2,19.0
97b48dda17fc9d1e5efc9abee656adf8,19.0
3d2f2438922ceb404b799ed39f461f0a,19.0
24cc9453a4608417510a86ba3b9a08c0,19.0
063ae69c19dcf73031d0bb62220a5b61,19.0
2402b10f3bf157505d562d4650a5f59c,18.0
baed768d695c431b255e7cad2fb99fe7,18.0
3c62e0b79531f8882a2fd579c76a775a,18.0
2bfc43c276b78e95b9d8af96c6067eee,18.0
8f0928be01a0dd42eab53c951f71d158,18.0
de71f4fed75a2fe17911d01dfd30f29a,18.0
49ee58d97d16180718cfad1fc05e52f3,17.0
763dd2354ce127b6282171665dde10e6,17.0
250d7c67d242eeb2092fd4e4f3265e18,17.0
aeb6e2381607e221e6ac87f816d205ff,17.0
351753f8c92e93f259b62f65f55e542c,17.0
7033361e3a59b730da399b2543ac102b,17.0
ae0fe96c06b77d3d2f1e338c46914ca9,17.0
0f9b7133818dd47edd92e65b8d103eac,17.0
a492242a27efc186f67050b7fdefefcc,17.0
88fc7e39c4c1d043e43330b93ce4bd7b,17.0
56f1b9504773f51b561a4b20a85a24ac,17.0
642470ea19b23b9077b29f60c6a3ba30,16.0
053dd8c96e72c5211e213ff3d37a2aff,16.0
a5c74ea1fcd333ec18e8c3cc05a4a9c5,16.0
dfbf64c13b94483b3a7c796ae604a9c5,16.0
3421a89fa1f0004be83d376c9d577cf3,16.0
9d6de0a01ad4e19bfa0dcec6b3ef4ec9,16.0
defce0de8bc8be774d3ca91939e97613,15.0
b9384efba415718f49690fb7509a6678,15.0
498a13f5db66514de43a23644311bc06,15.0
99c316b22e72a34999f5eb114ae39fae,15.0
563b806f5817ffda8d63b57b6984c4e3,15.0
517bb3ff8d3208d0df48b82aa89dabf8,15.0
12a4ac38896287880b5c0ddd2ea05933,15.0
79eecd37bf2c12aad0bb6a78a23e7c65,15.0
6c799f0daacb10d8c22d865b0bc5451b,15.0
088a26f55b34fad4f99a9fa851493600,15.0
e8d515d8786d2e4afd4372fa7b62dde2,15.0
a2f1012cd6da822e1ff3bb918ff721f2,15.0
078bd87b46396d7097b6f3496716fc65,15.0
b0e81d466e3dd70e1f506a6f28961aa4,15.0
41fcf207ba069602242d3afb062a2f4c,14.0
5be8cfc33f71a771883d48a5b4b9bac9,14.0
cd563f83aec3edcc1226a73daf649700,14.0
d63513bc20b8a26561c0eadb4f4255c4,14.0
acfd695110da7a108dfa2bae6053430b,14.0
423840b13c5e81c6bd4dc6b5b2b2947a,14.0
f7427b26669e90825bcd78c26ceb8cc4,14.0
dac216013ca5910c344c729ced52d7ec,14.0
83fd0d2c2e705b6eb05767a79494d3ff,14.0
2452b6d56490419939ffaac1aea07d74,14.0
50e09cffa941b5b3d26d40a77afc6140,14.0
da999932315c56be38a95ae237f76b4c,14.0
259cea9050f31623395b25fb4e567ff7,13.0
c0865cfb6ac4279e2f885eab57cc11c6,13.0
57f7dbf3891b259d5f1365c6ac8b075c,13.0
df9deb48b5d53af165dbbda8f45cb49a,13.0
ea8841b1b319a5e4833929ce7fd0b823,13.0
f7f5895a9b058eff2b5f198b06331b83,13.0
8baf64bbab77f2a468fc211754d9b964,13.0
b167ae94c3c4aeeaf1e07159078bdb21,12.0
fb46eccf654590e38463759efbd0c81e,12.0
a0e00562204e3588994f8d6db108200e,12.0
ca66082288be23752a617677613fbf7c,12.0
18b02cd600f86613c3804f6bde581e99,12.0
9201bf2d4fba65955ce1b07b15ff9ccd,12.0
8d353463a0883cb2d2b8bb06e3d70291,12.0
